Date,Open,High,Low,Close,Adj Close,Volume
2020-03-10,277.140015,286.440002,269.369995,285.339996,285.339996,71322500
2020-03-11,277.390015,281.220001,271.859985,275.429993,275.429993,63899700
2020-03-12,255.940002,270.000000,248.000000,248.229996,248.229996,104618500
2020-03-13,264.890015,279.920013,252.949997,277.970001,277.970001,92683000
2020-03-16,241.949997,259.079987,240.000000,242.210007,242.210007,80605900
2020-03-17,247.509995,257.609985,238.399994,252.860001,252.860001,81014000
2020-03-18,239.770004,250.000000,237.119995,246.669998,246.669998,75058400
2020-03-19,247.389999,252.839996,242.610001,244.779999,244.779999,67964300
2020-03-20,247.179993,251.830002,228.000000,229.240005,229.240005,100423300
2020-03-23,228.080002,228.500000,212.610001,224.369995,224.369995,84188200
2020-03-24,236.360001,247.690002,234.300003,246.880005,246.880005,71882800
2020-03-25,250.750000,258.250000,244.300003,245.520004,245.520004,75900500
2020-03-26,246.520004,258.679993,246.360001,258.440002,258.440002,63021800
2020-03-27,252.750000,255.869995,247.050003,247.740005,247.740005,51054200
2020-03-30,250.740005,255.520004,249.399994,254.809998,254.809998,41994100
2020-03-31,255.600006,262.489990,252.000000,254.289993,254.289993,49250500
2020-04-01,246.500000,248.720001,239.130005,240.910004,240.910004,44054600
2020-04-02,240.339996,245.149994,236.899994,244.929993,244.929993,41483500
2020-04-03,242.800003,245.699997,238.970001,241.410004,241.410004,32470000
2020-04-06,250.899994,263.109985,249.380005,262.470001,262.470001,50455100
2020-04-07,270.799988,271.700012,259.000000,259.429993,259.429993,50721800
2020-04-08,262.739990,267.369995,261.230011,266.070007,266.070007,42223800
2020-04-09,268.700012,270.070007,264.700012,267.989990,267.989990,40529100
